============================================================
EXECUTANDO EXEMPLOS DO BIONIX
============================================================

[1/4] Exemplo 1: Testes do Núcleo (exemplo)...

[2/4] Exemplo 2: Modelo Linear com CSV e persistência...

[3/4] Exemplo 3: Espirais intercaladas com BMP + autograd + MLP...

[4/4] Exemplo 4: Reconhecimento de dígitos 0-9 com MLP...
--- Exemplo e000004: reconhecimento de dígitos (0-9) com MLP ---
Arquivos split | treino: 2240 | valid: 480 | teste: 480
Redimensionamento alvo: 32 x 32
Carregando 2240 imagens...
  progresso: 500 / 2240
  progresso: 1000 / 2240
  progresso: 1500 / 2240
  progresso: 2000 / 2240
Carregando 480 imagens...
Carregando 480 imagens...
Amostras treino: 2240 | Features: 1024
Amostras validação: 480 | Amostras teste: 480 | Classes: 10
Carregando pesos salvos de: exemplos/e000004_reconhecimento_digitos/pesos_mlp_digits.txt
Configuração MLP | Ativação saída: softmax | Perda: cross_entropy
Epocas: 1500 | Lote: 64 | LR: 0.005 | ReduceOnPlateau: True | FatorReduceLR: 0.5 | PacienciaReduceLR: 5 | LRMinReduce: 0.0001 | InferenciaSomente: False | SalvarCheckpoint: True
Época 93 | Loss treino médio: 1.9267838 | Loss validação: 1.9859112 | Acc validação: 0.35416666 | LR: 0.0001
Época 94 | Loss treino médio: 1.9267215 | Loss validação: 1.985799 | Acc validação: 0.35625 | LR: 0.0001
Época 95 | Loss treino médio: 1.9264755 | Loss validação: 1.9856298 | Acc validação: 0.35208333 | LR: 0.0001
Época 96 | Loss treino médio: 1.9265697 | Loss validação: 1.9855734 | Acc validação: 0.35208333 | LR: 0.0001
Época 97 | Loss treino médio: 1.9263953 | Loss validação: 1.9854343 | Acc validação: 0.35416666 | LR: 0.0001
Época 98 | Loss treino médio: 1.9262959 | Loss validação: 1.9854239 | Acc validação: 0.35625 | LR: 0.0001
Época 99 | Loss treino médio: 1.926171 | Loss validação: 1.9853054 | Acc validação: 0.35625 | LR: 0.0001
Época 100 | Loss treino médio: 1.926042 | Loss validação: 1.9852448 | Acc validação: 0.35416666 | LR: 0.0001
Época 101 | Loss treino médio: 1.9258767 | Loss validação: 1.9852028 | Acc validação: 0.35416666 | LR: 0.0001
Época 102 | Loss treino médio: 1.9258081 | Loss validação: 1.985091 | Acc validação: 0.35833332 | LR: 0.0001
Época 103 | Loss treino médio: 1.925881 | Loss validação: 1.9849524 | Acc validação: 0.35416666 | LR: 0.0001
Época 104 | Loss treino médio: 1.9256405 | Loss validação: 1.9848979 | Acc validação: 0.35416666 | LR: 0.0001
Época 105 | Loss treino médio: 1.9254942 | Loss validação: 1.9847382 | Acc validação: 0.35416666 | LR: 0.0001
Época 106 | Loss treino médio: 1.925329 | Loss validação: 1.9846603 | Acc validação: 0.35416666 | LR: 0.0001
Época 107 | Loss treino médio: 1.9254464 | Loss validação: 1.984567 | Acc validação: 0.35625 | LR: 0.0001
Época 108 | Loss treino médio: 1.9251932 | Loss validação: 1.9844893 | Acc validação: 0.35625 | LR: 0.0001
Época 109 | Loss treino médio: 1.9251323 | Loss validação: 1.984414 | Acc validação: 0.35416666 | LR: 0.0001
Época 110 | Loss treino médio: 1.9249407 | Loss validação: 1.9844025 | Acc validação: 0.35833332 | LR: 0.0001
Época 111 | Loss treino médio: 1.925062 | Loss validação: 1.9842923 | Acc validação: 0.35416666 | LR: 0.0001
Época 112 | Loss treino médio: 1.9248078 | Loss validação: 1.9841746 | Acc validação: 0.35625 | LR: 0.0001
Época 113 | Loss treino médio: 1.9247079 | Loss validação: 1.9841092 | Acc validação: 0.35416666 | LR: 0.0001
Época 114 | Loss treino médio: 1.9246264 | Loss validação: 1.9840903 | Acc validação: 0.35625 | LR: 0.0001
Época 115 | Loss treino médio: 1.9246207 | Loss validação: 1.9840454 | Acc validação: 0.35833332 | LR: 0.0001
Época 116 | Loss treino médio: 1.9243234 | Loss validação: 1.9838353 | Acc validação: 0.35625 | LR: 0.0001
Época 117 | Loss treino médio: 1.9243038 | Loss validação: 1.9837906 | Acc validação: 0.35833332 | LR: 0.0001
Época 118 | Loss treino médio: 1.9241544 | Loss validação: 1.9837633 | Acc validação: 0.35625 | LR: 0.0001
Época 119 | Loss treino médio: 1.9241614 | Loss validação: 1.9835517 | Acc validação: 0.35416666 | LR: 0.0001
Época 120 | Loss treino médio: 1.9239323 | Loss validação: 1.9835235 | Acc validação: 0.35625 | LR: 0.0001
Época 121 | Loss treino médio: 1.9238952 | Loss validação: 1.9834591 | Acc validação: 0.35833332 | LR: 0.0001
Época 122 | Loss treino médio: 1.9237992 | Loss validação: 1.9833742 | Acc validação: 0.35625 | LR: 0.0001
Época 123 | Loss treino médio: 1.9238081 | Loss validação: 1.9832246 | Acc validação: 0.35625 | LR: 0.0001
Época 124 | Loss treino médio: 1.9236684 | Loss validação: 1.9830855 | Acc validação: 0.35416666 | LR: 0.0001
Época 125 | Loss treino médio: 1.9234524 | Loss validação: 1.9830517 | Acc validação: 0.35833332 | LR: 0.0001
Época 126 | Loss treino médio: 1.9233317 | Loss validação: 1.9830297 | Acc validação: 0.35833332 | LR: 0.0001
Época 127 | Loss treino médio: 1.9232464 | Loss validação: 1.9829849 | Acc validação: 0.36041668 | LR: 0.0001
Época 128 | Loss treino médio: 1.9231975 | Loss validação: 1.9828826 | Acc validação: 0.35833332 | LR: 0.0001
Época 129 | Loss treino médio: 1.922946 | Loss validação: 1.9827231 | Acc validação: 0.35625 | LR: 0.0001
Época 130 | Loss treino médio: 1.923082 | Loss validação: 1.9826797 | Acc validação: 0.35833332 | LR: 0.0001
Época 131 | Loss treino médio: 1.9227548 | Loss validação: 1.9825896 | Acc validação: 0.35625 | LR: 0.0001
Época 132 | Loss treino médio: 1.9226351 | Loss validação: 1.9825494 | Acc validação: 0.36041668 | LR: 0.0001
Época 133 | Loss treino médio: 1.922739 | Loss validação: 1.9824336 | Acc validação: 0.35833332 | LR: 0.0001
Época 134 | Loss treino médio: 1.9224186 | Loss validação: 1.9824153 | Acc validação: 0.3625 | LR: 0.0001
Época 135 | Loss treino médio: 1.9224475 | Loss validação: 1.98224 | Acc validação: 0.36041668 | LR: 0.0001
Época 136 | Loss treino médio: 1.9223144 | Loss validação: 1.9821044 | Acc validação: 0.35416666 | LR: 0.0001
Época 137 | Loss treino médio: 1.922316 | Loss validação: 1.9820195 | Acc validação: 0.36041668 | LR: 0.0001
Época 138 | Loss treino médio: 1.9222128 | Loss validação: 1.9819549 | Acc validação: 0.35833332 | LR: 0.0001
Época 139 | Loss treino médio: 1.9219176 | Loss validação: 1.9818925 | Acc validação: 0.36041668 | LR: 0.0001
Época 140 | Loss treino médio: 1.9219164 | Loss validação: 1.9817661 | Acc validação: 0.35833332 | LR: 0.0001
Época 141 | Loss treino médio: 1.9218973 | Loss validação: 1.9817193 | Acc validação: 0.35625 | LR: 0.0001
Época 142 | Loss treino médio: 1.9217177 | Loss validação: 1.9816383 | Acc validação: 0.36041668 | LR: 0.0001
Época 143 | Loss treino médio: 1.9215759 | Loss validação: 1.9815525 | Acc validação: 0.35833332 | LR: 0.0001
Época 144 | Loss treino médio: 1.9214672 | Loss validação: 1.9814944 | Acc validação: 0.3625 | LR: 0.0001
Época 145 | Loss treino médio: 1.9214299 | Loss validação: 1.9814268 | Acc validação: 0.36041668 | LR: 0.0001
Época 146 | Loss treino médio: 1.9215044 | Loss validação: 1.9812417 | Acc validação: 0.35833332 | LR: 0.0001
Época 147 | Loss treino médio: 1.921272 | Loss validação: 1.9811682 | Acc validação: 0.36041668 | LR: 0.0001
Época 148 | Loss treino médio: 1.9211127 | Loss validação: 1.9811329 | Acc validação: 0.36041668 | LR: 0.0001
Época 149 | Loss treino médio: 1.9209098 | Loss validação: 1.9810737 | Acc validação: 0.36041668 | LR: 0.0001
Época 150 | Loss treino médio: 1.9209766 | Loss validação: 1.9809941 | Acc validação: 0.36041668 | LR: 0.0001
Época 151 | Loss treino médio: 1.9208769 | Loss validação: 1.98086 | Acc validação: 0.36041668 | LR: 0.0001
Época 152 | Loss treino médio: 1.9205811 | Loss validação: 1.9807724 | Acc validação: 0.35833332 | LR: 0.0001
Época 153 | Loss treino médio: 1.9206316 | Loss validação: 1.9807765 | Acc validação: 0.35833332 | LR: 0.0001
Época 154 | Loss treino médio: 1.9204202 | Loss validação: 1.9806331 | Acc validação: 0.35833332 | LR: 0.0001
Época 155 | Loss treino médio: 1.920377 | Loss validação: 1.9805204 | Acc validação: 0.36041668 | LR: 0.0001
Época 156 | Loss treino médio: 1.9202734 | Loss validação: 1.9803755 | Acc validação: 0.35625 | LR: 0.0001
Época 157 | Loss treino médio: 1.920091 | Loss validação: 1.9803916 | Acc validação: 0.36041668 | LR: 0.0001
Época 158 | Loss treino médio: 1.9200871 | Loss validação: 1.9802625 | Acc validação: 0.35833332 | LR: 0.0001
Época 159 | Loss treino médio: 1.9199984 | Loss validação: 1.9802299 | Acc validação: 0.36041668 | LR: 0.0001
Época 160 | Loss treino médio: 1.919926 | Loss validação: 1.9801062 | Acc validação: 0.36041668 | LR: 0.0001
Época 161 | Loss treino médio: 1.9197708 | Loss validação: 1.9799856 | Acc validação: 0.36041668 | LR: 0.0001
Época 162 | Loss treino médio: 1.9196254 | Loss validação: 1.9799961 | Acc validação: 0.36041668 | LR: 0.0001
Época 163 | Loss treino médio: 1.9194467 | Loss validação: 1.9798692 | Acc validação: 0.35833332 | LR: 0.0001
Época 164 | Loss treino médio: 1.91933 | Loss validação: 1.9797734 | Acc validação: 0.36041668 | LR: 0.0001
Época 165 | Loss treino médio: 1.9192575 | Loss validação: 1.979697 | Acc validação: 0.36041668 | LR: 0.0001
Época 166 | Loss treino médio: 1.9192376 | Loss validação: 1.9795605 | Acc validação: 0.3625 | LR: 0.0001
Época 167 | Loss treino médio: 1.9190744 | Loss validação: 1.9795848 | Acc validação: 0.36666667 | LR: 0.0001
Época 168 | Loss treino médio: 1.9189674 | Loss validação: 1.9795748 | Acc validação: 0.3625 | LR: 0.0001
Época 169 | Loss treino médio: 1.9188756 | Loss validação: 1.9794241 | Acc validação: 0.3625 | LR: 0.0001
Época 170 | Loss treino médio: 1.9187199 | Loss validação: 1.979335 | Acc validação: 0.3625 | LR: 0.0001
Época 171 | Loss treino médio: 1.9188064 | Loss validação: 1.9792378 | Acc validação: 0.36666667 | LR: 0.0001
Época 172 | Loss treino médio: 1.9184873 | Loss validação: 1.9791777 | Acc validação: 0.36041668 | LR: 0.0001
Época 173 | Loss treino médio: 1.9184533 | Loss validação: 1.9790568 | Acc validação: 0.3625 | LR: 0.0001
Época 174 | Loss treino médio: 1.9182474 | Loss validação: 1.9789025 | Acc validação: 0.3625 | LR: 0.0001
Época 175 | Loss treino médio: 1.9183492 | Loss validação: 1.9788023 | Acc validação: 0.3625 | LR: 0.0001
Época 176 | Loss treino médio: 1.9181569 | Loss validação: 1.9787829 | Acc validação: 0.36458334 | LR: 0.0001
Época 177 | Loss treino médio: 1.9180511 | Loss validação: 1.9786861 | Acc validação: 0.36458334 | LR: 0.0001
Época 178 | Loss treino médio: 1.9179688 | Loss validação: 1.9785769 | Acc validação: 0.36041668 | LR: 0.0001
Época 179 | Loss treino médio: 1.917813 | Loss validação: 1.9784875 | Acc validação: 0.3625 | LR: 0.0001
Época 180 | Loss treino médio: 1.9176457 | Loss validação: 1.9783656 | Acc validação: 0.35833332 | LR: 0.0001
Época 181 | Loss treino médio: 1.9176409 | Loss validação: 1.9783045 | Acc validação: 0.36041668 | LR: 0.0001
Época 182 | Loss treino médio: 1.9175352 | Loss validação: 1.9782386 | Acc validação: 0.36041668 | LR: 0.0001
Época 183 | Loss treino médio: 1.9173981 | Loss validação: 1.9781414 | Acc validação: 0.36041668 | LR: 0.0001
Época 184 | Loss treino médio: 1.91736 | Loss validação: 1.9780258 | Acc validação: 0.3625 | LR: 0.0001
Época 185 | Loss treino médio: 1.9172571 | Loss validação: 1.9779306 | Acc validação: 0.36041668 | LR: 0.0001
Época 186 | Loss treino médio: 1.9171062 | Loss validação: 1.9778402 | Acc validação: 0.36041668 | LR: 0.0001
Época 187 | Loss treino médio: 1.9171845 | Loss validação: 1.9778247 | Acc validação: 0.36041668 | LR: 0.0001
Época 188 | Loss treino médio: 1.9169837 | Loss validação: 1.9777497 | Acc validação: 0.3625 | LR: 0.0001
Época 189 | Loss treino médio: 1.9167886 | Loss validação: 1.9776349 | Acc validação: 0.3625 | LR: 0.0001
Época 190 | Loss treino médio: 1.9167363 | Loss validação: 1.9775729 | Acc validação: 0.3625 | LR: 0.0001
Época 191 | Loss treino médio: 1.9166368 | Loss validação: 1.9774312 | Acc validação: 0.3625 | LR: 0.0001
Época 192 | Loss treino médio: 1.9165142 | Loss validação: 1.9774058 | Acc validação: 0.3625 | LR: 0.0001
Época 193 | Loss treino médio: 1.9163513 | Loss validação: 1.97739 | Acc validação: 0.36666667 | LR: 0.0001
Época 194 | Loss treino médio: 1.9162658 | Loss validação: 1.9773681 | Acc validação: 0.3625 | LR: 0.0001
Época 195 | Loss treino médio: 1.916193 | Loss validação: 1.9771468 | Acc validação: 0.36041668 | LR: 0.0001
Época 196 | Loss treino médio: 1.9161011 | Loss validação: 1.9770672 | Acc validação: 0.3625 | LR: 0.0001
Época 197 | Loss treino médio: 1.9160706 | Loss validação: 1.9769807 | Acc validação: 0.36458334 | LR: 0.0001
Época 198 | Loss treino médio: 1.9159238 | Loss validação: 1.97689 | Acc validação: 0.3625 | LR: 0.0001
Época 199 | Loss treino médio: 1.9158447 | Loss validação: 1.9768361 | Acc validação: 0.36041668 | LR: 0.0001
Época 200 | Loss treino médio: 1.9158502 | Loss validação: 1.9767531 | Acc validação: 0.36666667 | LR: 0.0001
Época 201 | Loss treino médio: 1.9156549 | Loss validação: 1.976673 | Acc validação: 0.36458334 | LR: 0.0001
Época 202 | Loss treino médio: 1.9154648 | Loss validação: 1.9766319 | Acc validação: 0.36666667 | LR: 0.0001
Época 203 | Loss treino médio: 1.9154587 | Loss validação: 1.9765021 | Acc validação: 0.3625 | LR: 0.0001
Época 204 | Loss treino médio: 1.9152176 | Loss validação: 1.9763643 | Acc validação: 0.3625 | LR: 0.0001
Época 205 | Loss treino médio: 1.91524 | Loss validação: 1.9762619 | Acc validação: 0.36041668 | LR: 0.0001
Época 206 | Loss treino médio: 1.9150674 | Loss validação: 1.9762044 | Acc validação: 0.3625 | LR: 0.0001
